,Country,Subject Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Afghanistan,"Gross domestic product, constant prices",,,,,,,,,,,,,,,,,,,,,,,,8.692,0.671,11.83,5.361,13.34,3.863,20.585,8.438,6.479,13.968,5.683,2.697,0.988,2.164,2.889,2.664,3.037,-3.007,4.495
1,Afghanistan,"Gross domestic product, current prices",,,,,,,,,,,,,,,,,,,,,,,18.835,20.852,21.557,24.858,26.983,31.404,33.252,40.403,44.323,48.18,55.963,60.181,62.948,64.231,66.301,69.501,73.091,76.624,74.792,79.678
2,Afghanistan,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,,,,,,,,,,,4.398,-3.112,8.042,2.194,9.143,1.286,17.527,5.431,3.234,10.299,2.236,-0.521,-1.941,-0.547,0.358,1.268,1.654,-4.291,3.063
3,Afghanistan,"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,,,,,,35.663,16.358,10.569,6.785,8.681,26.419,-6.811,2.179,11.804,6.441,7.386,4.674,-0.662,4.384,4.976,0.626,2.302,4.711,4.451
4,Afghanistan,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,,,,,,6.53,13.266,10.562,4.285,16.092,18.814,-9.836,10.246,9.312,5.875,7.241,1.487,1.131,4.588,3.041,0.755,2.773,4.5,5.0
5,Afghanistan,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Afghanistan,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,-0.098,-2.102,-2.393,-0.965,0.643,-2.492,-3.882,-1.779,0.922,-0.672,0.182,-0.631,-1.719,-1.378,0.118,-0.63,1.502,-0.983,-4,-2.007
7,Afghanistan,Current account balance,,,,,,,,,,,,,,,,,,,,,,,33.908,29.616,37.216,30.226,20.844,63.39,33.769,41.587,29.43,26.574,10.864,1.444,6.549,3.709,8.375,7.087,12.986,8.591,4.898,5.753
11,Albania,"Inflation, average consumer prices",,,,,,,,,,,-0.18,35.717,225.996,85.005,22.565,7.794,12.734,33.167,20.646,0.389,0.039,3.12,5.202,2.363,2.867,2.363,2.37,2.96,3.31,2.231,3.615,3.443,2.036,1.925,1.613,1.868,1.282,1.987,2.029,1.411,2.39,2.75
12,Albania,"Inflation, end of period consumer prices",,,,,,,,,,,--,104.047,236.58,30.941,15.818,6.015,17.402,42.073,8.686,-1.029,4.205,3.527,1.681,3.298,2.204,2.038,2.513,3.027,2.215,3.501,3.495,1.743,2.463,1.776,0.719,1.937,2.176,1.798,1.799,1.15,2.6,2.9
14,Albania,General government net lending/borrowing,,,,,,,,,,,,,,,,,,-11.902,-9.926,-8.841,-7.772,-6.837,-6.212,-5.006,-5.163,-3.458,-3.263,-3.179,-4.884,-6.586,-3.52,-3.516,-3.441,-5.215,-5.458,-4.054,-1.762,-1.392,-1.346,-1.957,-5.393,-3.066
22,Algeria,General government net lending/borrowing,,,,,,,,,,,3.185,3.801,0.751,-5.916,-1.865,0.587,3.912,2.93,-3.576,-1.895,9.701,3.74,1.164,4.876,5.259,13.631,13.961,6.598,9.616,-5.807,-0.038,-0.104,-4.435,-0.4,-7.3,-15.267,-13.051,-6.647,-4.468,-5.081,-14.952,-10.102
28,Angola,"Inflation, end of period consumer prices",,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,175.72,495.793,1837.87,971.954,3783.92,1650.83,149.621,134.809,329.001,268.35,116.068,105.59,76.56,31.013,18.53,12.207,11.776,13.17,13.987,15.322,11.376,9.042,7.687,7.498,12.091,41.125,23.667,18.604,16.893,20.979,23.981
29,Angola,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
